title,history_text
3d man with super speed super strength,delroy garrett jr grow become track star compete olympic game test positive steroid lose three gold medal despair turn religion specifically triune understand group founder jonathan tremont find one three fragment mysterious object use give garrett power 3d man garrett assume power newfound spiritual enlightenment tremont never disabuse notion
514a gotham with durability reflex super strength,one many prisoner indian hill transfer another facility upstate order court however fish mooney hijack bus drive gotham city bus crash fire upon butch gilzean gang mobster flee sight resurrect fish leaf scene elderly hobo lady hear cry prisoner release horrify monstrous appearance monster depart prison van make way gotham city bruce wayne lookalike departs bus thanks elderly woman enter city lookalike later saw selina kyle ivy pepper give money street gang selina kyle leave go meet fish mooney gang ivy visit bruce wayne lookalike frantically ask bruce wayne confuse look almost identical confuse terrified ivy run inform selina odd behavior lookalike later sneak wayne manor bruce alfred pennyworth find surprised appearance begs hurt himwhile help food lookalike state bruce know subject 514a state never know indian hill subject load onto bus later free bruce object alfred suggestion turn someone subject 514a later visit bruce spar match alfred take shot alfred subject 514a manage easily counter alfred move subject 514a manage get punch nose alfred saw didnt feel pain alfred bruce notice scar back neck bruce look clue scar subject 514a hide selina kyle come view watch bruce selinas conversation subject 514a start begin mimic bruce voice later night bruce sleep subject 514a start cut hair next morning bruce alfred find subject 514a upon find cut hair bruce miss clothes bruce tell alfred need find subject 514a arrive one car wayne manor invite selina kyle food selina suspicious bruce act strange go anywaythe next day selina subject 514a walk street approach bar selina go bar subject 514a tell go around back selina finger cut two owner subject 514a come beat two men selina cut loose subject 514a get away selina discovers subject 514a wound upon notice scar selina see bruce selina stitch subject 514a state knowledge make look like claim bruce might interest selina watch hall tell selina happen firefly ivy subject 514a kiss selina bruce alfred catch subject 514a claim bruce doesnt know want subject 514a claim doesnt know create state doesnt belong gotham city jump build tell say goodbye selina bruce alfred see subject 514a walk street subject 514a later visit kathryn talon walk street kathryn state subject 514a real parent look long time subject 514a loaded kathryns limo talon
abomb with accelerated heal agility berserk mode bloodlust camouflage cloak cold resistance durability emotional power up endurance energy resistance enhance sens fire resistance gamma mutant physiology heat resistance indestructible digestion invulnerability jump longevity natural armor natural weapon power augmentation radiation absorption radiation immunity rage power reactive power level reflex regeneration seismic power selfsustenance shapeshifting size change stamina stealth super breath super speed super strength telepathy resistance toxin and disease resistance transformation underwater breathe,richard rick jones orphan young age expel several orphanage disciplinary reason place state institution call tempest town trouble rebellious youth jones soon come attention institution chief administrator smash guitar gift late father severely thrashed soon afterward jones run away institution spend first half teen drift town town throughout southwest try avoid juvenile authority menial work could get age 16 get driver license manage save enough money buy use car overhear teenager dare friend ride desert rumor atomic bomb go test jones offer take upon challenge drove car test site discover challenger timid show dr robert bruce banner designer gamma bomb test learn someone venture onto test site believe countdown delay ran desert warn back banner manage throw jones protective trench bomb detonate bombard gamma radiation radiation trigger mutagenic change banner cause turn rag superhuman hulk feel responsible banner condition person know rampage brute actually banner jones become hulk sometimes unwanted companion ally jones soon organize teen brigade group young amateur ham radio enthusiasts help monitor hulks activity jones present hulk first encounter army well superhuman menace gargoyle alien toadmen ringmaster tyrannus metal master even runin fantastic four avenger form due rick radio broadcast warn hulk temporarily become sidekick captain america resemblance bucky note rick even wear buckys costume time however captain america felt want lose another partner rick good athlete quite level bucky iron man suggest rick make full member avenger cap strongly oppose idea kree hero captain marvell bond rick due able function negative zone hour use negative zone portal baxter building seem remove limitation shortly rick marvell remerged eventually separate kreeskrull war omniwave machine supreme intelligence cause destiny force trigger within rick attempt cure hulk instead give rick radiation poison hospital dire wraith begin replace staff stop rom rick assist rom wraith temporarily live brandy clark jones cure beyonder time rom brandy leave galador rick begin date marlo chandler former girlfriend hulk two later marry great number hero attendance impossible man best usurp proceeding invite kree skrulls even mephisto ceremony period estrangement also involve moondragon death become involve marlo two reunite jones temporarily paralyze hulk horseman war attempt stop war hulk thrown pyramid rick cure destiny war summon avenger various reality battle existence time keeper strain incredible future version genisvell bond much like rick marvell rick genis later discover bond still apply current genis rick author bestselling novel day sidekick hulk return earth jones attempt calm tell captain americas death hulk almost calm dr strange invade hulk mind rick later go stranges sanctum sanctorum attack hulk ally later rick transport gamma bomb site give birth original hulk drop encounter red hulk see murder emil blonsky abomination rick transform new blue creature quite resembled abomination call abomb new form much like original hulk incarnation whereas could remember anybody else transformation complete easily flare temper simplify speech pattern hold red hulk extend period time withstand blow injure multiple time far nobody able accomplish battle interrupt several giant android harpy specifically design united state military case bruce banner escape facility hulk abomb proven hold onto fragment memory rick jones recognize harpy face betty ross bruce banner first love abomb manage disable one midflight crash earththe robot explode abomb join several hero include avenger fantastic four shehulk hulk help stop impend earthquake san francisco cause red hulk red hulk defeat abomb revert back rick attempt reveal red hulk really shot drag away doc samson area
aa with energy absorption energy armor energy beam energy blast energy construct energy manipulation energy resistance force field lantern power ring time manipulation time travel timeframe control weaponbased power,aa one passive member pumice people race stoneworld hal jordan attempt restart green lantern corp send one rookie brik draw new recruit brik select one member stoneworlds two dominant race aa pumicepeople kworri obsidianfolk hortly recruit aa kworri brik capture flicker agent pangalactic placement service corporation cosmic headhunter flicker intend sell upandcoming green lantern race know quanhooga already succeed capture hal jordan attempt brainwash give information concern earthling carol ferris aka star sapphire hal break free control rescue aa others prepared eventuality flicker let hero believe escape four flew outer spaceas leave pangalactic company ship aa take liberty capture one agency attendant hal mindprobed captive ring learn whereabouts star sapphire aa uncomfortable idea expect follow hal personal quest rival kworri quick point being aa would always second guess hals leadership potential kworri swore undying fealty towards hal corp hal tell resolve affair involve star sapphire would select either aa kworri serve green lantern corp would force return stoneworld hal investigate situation one angle aa brik kworri track star sapphire last location fleet teban warship engage battle quanhooga armada kworri follow hals stand order wait watch aa question order cite hal could foresee arrive scene fierce space battle hal show soon aa exchange tense word good character female character new earth character 21 aa new earth english edit share green lanternhelp gallery real name aa current alias green lantern affiliation darkstars formerly green lantern corp 2nd iteration status alignment good identity secret identity race pumice person marital status single occupation green lantern characteristic gender female hair hair skin grey origin universe new earth prime earth sector sector 904 partner brik place birth stoneworld creator gerard jones pat broderick romeo tanghal first appearance green lantern vol 3 21 february 1992 quote1 pet rock aa stoneworld moralist think high code keep u honest quote2 kilowog src contentsshow history aa one passive member pumice people race stoneworld hal jordan attempt restart green lantern corp send one rookie brik draw new recruit brik select one member stoneworlds two dominant race aa pumicepeople kworri obsidianfolk shortly recruit aa kworri brik capture flicker agent pangalactic placement service corporation cosmic headhunter flicker intend sell upandcoming green lantern race know quanhooga already succeed capture hal jordan attempt brainwash give information concern earthling carol ferris aka star sapphire hal break free control rescue aa others prepared eventuality flicker let hero believe escape four flew outer space1 leave pangalactic company ship aa take liberty capture one agency attendant hal mindprobed captive ring learn whereabouts star sapphire aa uncomfortable idea expect follow hal personal quest rival kworri quick point being aa would always second guess hals leadership potential kworri swore undying fealty towards hal corp hal tell resolve affair involve star sapphire would select either aa kworri serve green lantern corp would force return stoneworld hal investigate situation one angle aa brik kworri track star sapphire last location fleet teban warship engage battle quanhooga armada kworri follow hals stand order wait watch aa question order cite hal could foresee arrive scene fierce space battle hal show soon aa exchange tense word green lantern board teben flagship command captain kreon find kreon possession comatose star sapphire also league pangalactic headhunter flicker part flicker end game could deliver green lantern prospect true client teben quanhooga thing quickly begin fall apart flicker try keep green lantern bay train weapon star sapphire aa spoil flicker shot thus save carol life retrieve unconscious body lanterns flew away oppose armadas loyal kworri confident would one hal would select join new corp turn hal decide first moment meet aa woman want side appreciate aas ideal persistently question authority attitude altogether different hal jordan
aaron cash with weaponbased power weapon master,aaron cash head security arkham asylum hook hand real hand eat killer croc
aayla secura with accelerated heal agility astral projection cloak danger sense,ayla secura rutian twilek jedi knight onetime apprentice quinlan vos serve clone war fight several battle include one help free small lurmen village destruction also help fend zillo beast rampage coruscant mutual feeling fellow jedi kit fisto choose pursue feeling remain jedi one jedi develop strong bond clone commander commander bly share mutual trust respect serve felucia order 66 execute supreme chancellor palpatine shoot back kill bly another member 327th star corp body destroy clone
abe sapien with accelerated heal agility cold resistance durability enhance sight immortality intelligence longevity marksmanship reflex stamina submariner super strength telepathy underwater breathe weapon master,sapien begin life langdon everett caul victorian scientist businessman become involved oannes society occult organization believe life knowledge come sea retrieve strange jellyfishlike deity underwater ruin caul member perform arcane ritual inadvertently end creature release caul turn icthyo sapien believe oannes reborn society seal develop icthyo sapiens body tube water hidden laboratory beneath washington dc hospital time fully form force abandon site outbreak civil war society never find occasion return caul stay find workman november 1978 memory life icthyo sapien receive new name piece paper attach tube date day abraham lincolns assassination april 14 1865 abe sapien take bureau paranormal research defense bprd gruelling round research curious bprd scientist save vivisection empathetic hellboy thereafter abe entered rank bprd value field agent embark first mission hellboy 1981 cavendish hall climax seed destruction sapien possess spirit longdead whaler elihu cavendish contemporary langdon caul kill mad monk rasputin foil plan unleash ogdru jahad destroy world subsequent girescu affair wake devil abe fellow agent lead trap leave agent dead abe broken arm rasputin vengeful spirit appear prophesied sapien one day spear death plague frog rasputins prediction come true sapien impale spear apparently kill one ogdru jahads follower sapien appear die body experience bring former life antebellum america witness past self action abe enter caul body prior transformation create spiritualmystical time loop abe return life present make fast recovery begin research past life result abe learn edith howard langdon cauls wife drown madness become spectre force exorcise attempt sapien resume life caul leave sapien memory wife could never know garden soul sapien contact panya ageless mummy trap oannes society sapiens compatriot former life langdon caul sequester away hidden island indonesia nowwithered psychic form contain cyborg body aware imminent apocalypse society determine save least mankind spiritual essence poise use bomb cause massive tidal wave would devastate southern hemisphere soul whose population could harvest society vatgrown body make expressly purpose grant godlike power horrify abe manage singlehandedly destroy society escape panya finally come term ghost past truly separate identity langdon caul would likely agree willingly societys plan abe since fully return bprd continue one trustworthy agent however king fear abe lead return mission hyperborean underworld confront supervillain black flame gather vast army frog hyperboreans usher apocalypse flame reveal abe go epicentre new earth fully evolve version frog monster one new men first mention hellboy conqueror worm rasputin abe reject idea many bprd field agent wary vision future liz sherman show time abe monstrous form recently god abe shoot psychic girl name fnix bprd show interest accord professor odonnell fnix equal ancient hyperborean shaman keep ogdru hem enter earth hyperboreas fall use vril energy fnix say shoot abe know impliying figure abes condition evolve form frog monster abe last see helicopter treat bullet wound
abin sur with lantern power ring,originally history professor planet ungara abin sur soon appoint green lantern space sector 2814 mid 1860s child become best friend ruch ehr later association munni jah two couple abin secretly love munni never overtly speak recruit green lantern know starkağr know come earth several occasion old west team ancestor hal jordan battle alien name traitor responsible death starkağr world war two briefly encounter starman bulletman three battle alien control mr mind also visit earth point golden silver age encounter martian manhunter patrol attack pursue know legion way oa badly injured space ship seriously damage make emergency land near habitable planet earth begin use power ring search successor wield ring pass ring settle hal jordan suitable replacement right death brief time zero hour pull present assisted darkstars battle entropy return time afterlife abin sur assist swamp thing alec holland rescue daughter tefé hell later reveal part soul torture hell spirit act companion hal jordan brief stint spectre eventually free hell assist jordan several spiritual adventure metaphysical dilemma eventually abin sur engage karammjeev descent ungaran form reincarnation reborn lagzia daughter surs old friend ruch ehr munni jah point life abin sire son amon sur grow become man charge black circle crime syndicate amon angry decease father abandon green lantern corp decide take anger green lanterns amon eventually stop abins successor successor kyle rayner secondgeneration guardian universe call lianna
abomination with accelerated heal adaptation agility animation berserk mode camouflage cold resistance durability endurance fire resistance gamma mutant physiology heat resistance intelligence invulnerability jump marksmanship mind control resistance radiation absorption radiation control radiation immunity rage power regeneration resurrection seismic power stamen stealth super breath super speed super strength underwater breathing,formerly know emil blonsky spy soviet yugoslavian origin work kgb abomination gain power receive dose gamma radiation similar transform bruce banner incredible hulk result permanently transform massive greenskinned monster whose physical power equivalent great hulk able maintain normal level selfcontrol intelligence transformation unable return human formgiven gammaspawned origin blonsky blame condition banner alter ego hulk abomination hulk clash numerous occasion blonsky perpetually play role aggressor although blonsky occasionally gain upper hand battle hulk manages triumph end always abomination one lay claim victory greenskinned goliathin recent year reveal hideous new visage serve alienate blonsky exwife nadia couple constant defeat hand hulk driven blonsky nearly insane hatred banner abomination also grow incensed upon learn banner marry betty ross daughter general thunderbolt ross loss wife blonsky figure fair banner lose betty jealousy cause apparent death bruce banner wife betty recover radiation sickness cause exposure gamma radiation within banner poison radioactive blood cause banner associate believe close proximity hulk give fatal case radiation poison banner later expose abomination role bettys seem death defeat combatnot grand scheme fail banner also forgive blonsky abomination could comprehend endure enemys absolution moment triumph twist crush defeat blonsky realize become abhorred rampage inhuman monster hulk religiously believe yearsmonths later stillgrieving general ross manipulate hulk attack almost kill blonsky abomination take custody military punishment force watch film loop wife prior transformation make incarceration constant reminder lose
abra kadabra cw with dimensional travel illusion intelligence intuitive aptitude matter manipulation technopathcyberpath teleportation,abra kadabra criminal time traveler 64th century outfit body futuristic nanotechnology allow range ability almost indistinguishable magic sorcery 21st century abra kadabra claim barry allen old enemy future also claim know savitar true identity
